date,aqi,pm25_avg,pm10_avg
2022/9/2,54,54,54
2022/9/3,87,87,48
2022/9/4,114,114,13
2022/9/5,26,18,26
2022/9/6,33,32,33
2022/9/7,53,45,53
2022/9/8,70,70,69
2022/9/9,115,115,68
2022/9/10,131,131,46
2022/9/11,84,84,64
2022/9/12,128,128,69
2022/9/13,140,140,44
2022/9/14,91,91,42
2022/9/15,67,67,47
2022/9/16,78,78,69
2022/9/17,109,109,30
2022/9/18,44,44,25
2022/9/19,28,28,24
2022/9/20,51,28,51
2022/9/21,66,66,47
2022/9/22,59,59,24
2022/9/23,42,18,42
2022/9/24,83,57,83
2022/9/25,129,129,90
2022/9/26,148,148,90
2022/9/27,141,141,91
2022/9/28,137,137,97
2022/9/29,158,158,102
2022/9/30,160,160,78
2022/10/1,140,140,18
2022/10/2,49,49,11
2022/10/3,30,30,8
2022/10/4,24,14,24
2022/10/5,45,39,45
2022/10/6,75,75,68
2022/10/7,134,134,71
2022/10/8,151,151,9
2022/10/9,19,10,19
2022/10/10,33,21,33
2022/10/11,74,59,74
2022/10/12,135,135,95
2022/10/13,167,167,112
2022/10/14,180,180,117
2022/10/15,188,188,21
2022/10/16,32,32,22
2022/10/17,30,17,30
2022/10/18,68,43,68
2022/10/19,113,113,95
2022/10/20,165,165,107
2022/10/21,177,177,38
2022/10/22,53,53,27
2022/10/23,63,41,63
2022/10/24,107,99,107
2022/10/25,174,174,106
2022/10/26,167,167,20
2022/10/27,54,29,54
2022/10/28,69,69,65
2022/10/29,108,108,77
2022/10/30,158,158,33
2022/10/31,65,65,28
2022/11/1,61,42,61
2022/11/2,104,104,46
2022/11/3,81,81,31
2022/11/4,54,45,54
2022/11/5,104,104,99
2022/11/6,170,170,40
2022/11/7,67,67,64
2022/11/8,120,120,89
2022/11/9,169,169,82
2022/11/10,176,176,76
2022/11/11,161,161,4
2022/11/12,16,16,14
2022/11/13,53,31,53
2022/11/14,104,104,41
2022/11/15,75,75,49
2022/11/16,80,71,80
2022/11/17,145,145,95
2022/11/18,174,174,101
2022/11/19,180,180,137
2022/11/20,219,219,52
2022/11/21,106,106,58
2022/11/22,118,118,77
2022/11/23,159,159,117
2022/11/24,193,193,73
2022/11/25,102,102,23
2022/11/26,38,25,38
2022/11/27,78,68,78
2022/11/28,95,95,47
2022/11/29,40,40,29
2022/11/30,39,39,31
2022/12/1,61,41,61
2022/12/2,119,119,29
2022/12/3,49,49,29
2022/12/4,48,48,43
2022/12/5,76,76,55
2022/12/6,106,106,42
2022/12/7,82,82,36
2022/12/8,67,67,63
2022/12/9,120,120,19
2022/12/10,34,34,20
2022/12/11,569,36,569
2022/12/12,229,229,91
2022/12/13,74,74,50
2022/12/14,64,64,38
2022/12/15,50,50,22
2022/12/16,31,29,31
2022/12/17,36,28,36
2022/12/18,48,48,45
2022/12/19,70,70,59
2022/12/20,102,102,29
2022/12/21,40,40,17
2022/12/22,21,21,17
2022/12/23,31,31,24
2022/12/24,48,48,33
2022/12/25,67,67,46
2022/12/26,71,71,32
2022/12/27,46,46,36
2022/12/28,61,61,21
2022/12/29,41,41,39
2022/12/30,70,70,52
2022/12/31,77,77,34
2023/1/1,62,62,16
